tableName;columnName;columnSequence
A25CAPV49L;caisseAvId;9321
A25CAPV49L;caisseAvProcesVerbalId;7440
A25CAPV49L;categorieRegie;8552
A25CAPV49L;categorieRegieID;9763
A25CAPV49L;chCode;7725
A25CAPV49L;commentaireControlePiecesJustificatives;6412
A25CAPV49L;commentaiRerespectPrincipeSpecialite;6334
A25CAPV49L;dateArreteCreation;7260
A25CAPV49L;dateCreation;6002
A25CAPV49L;dateCreationAnnee;5507
A25CAPV49L;dateCreationJour;5141
A25CAPV49L;dateCreationMois;7646
A25CAPV49L;dateDecisionCreation;5773
A25CAPV49L;dateMAJ;8851
A25CAPV49L;dateQuittanceReversementFondsEnCaisse;8655
A25CAPV49L;dateQuittanceReversementRecettes;8549
A25CAPV49L;dateQuittanceReversementSommesNonJustifiees;7587
A25CAPV49L;dateSignature;9166
A25CAPV49L;depenseEnCoursDeRemboursement;5698
A25CAPV49L;depenseEnCoursDeRemboursementEnLettre;9812
A25CAPV49L;depenseEnInstanceRegisseur;8943
A25CAPV49L;depenseEnInstanceRegisseurEnLettre;8911
A25CAPV49L;differenceSoldeEnEcriture;8735
A25CAPV49L;differenceSoldeEnEcritureEnLettre;7217
A25CAPV49L;encaisse;6381
A25CAPV49L;evaluationAppreciationsVerificateur;7085
A25CAPV49L;evaluationAvisDGB;9738
A25CAPV49L;evaluationDate;6423
A25CAPV49L;evaluationDecisionMinistre;6268
A25CAPV49L;evaluationPropositionsSDCF;6939
A25CAPV49L;exMillesime;7791
A25CAPV49L;gradeComptable;5019
A25CAPV49L;gradeOrdonnateur;6448
A25CAPV49L;gradeRegisseur;8211
A25CAPV49L;imputationTechnique;9105
A25CAPV49L;matriculeComptable;7562
A25CAPV49L;matriculeOrdonnateur;8562
A25CAPV49L;matriculeRegisseur;5068
A25CAPV49L;montantRealisationsEffectives;6464
A25CAPV49L;montantRealisationsEffectivesEnLettre;5743
A25CAPV49L;montantSoldeEnEcritureJournal;6860
A25CAPV49L;montantSoldeEnEcritureJournalEnLettre;6186
A25CAPV49L;montantSoldeEnEcriturePieces;9888
A25CAPV49L;montantSoldeEnEcriturePiecesEnLettre;6172
A25CAPV49L;montantSommesNonJustifiees;7498
A25CAPV49L;montantSommesNonJustifieesEnLettre;9644
A25CAPV49L;montantTotalFondsEnCaisse;5380
A25CAPV49L;montantTotalFondsEnCaisseEnLettre;9839
A25CAPV49L;montantTotalRecette;9778
A25CAPV49L;montantTotalRecetteEnLettre;6914
A25CAPV49L;motDuRegisseur;7316
A25CAPV49L;motifSiObjetJustifiantOuvertureRegieNonRespecte;5380
A25CAPV49L;natureDepense;7841
A25CAPV49L;nomComptable;5118
A25CAPV49L;nomOrdonnateur;7720
A25CAPV49L;nomRegisseur;7772
A25CAPV49L;numArreteCreation;5093
A25CAPV49L;numDecision;6014
A25CAPV49L;numDecisionCreation;5353
A25CAPV49L;numLettreDeMission;6796
A25CAPV49L;numNoteDeService;8703
A25CAPV49L;numQuittanceReversementFondsEnCaisse;8607
A25CAPV49L;numQuittanceReversementRecettes;8587
A25CAPV49L;numQuittanceReversementSommesNonJustifiees;8103
A25CAPV49L;numRegie;5121
A25CAPV49L;objetRegie;5233
A25CAPV49L;observationsDeLaMission;9063
A25CAPV49L;observationsSiPiecesJustificatives;5375
A25CAPV49L;prenomComptable;6782
A25CAPV49L;prenomOrdonnateur;7114
A25CAPV49L;prenomRegisseur;7208
A25CAPV49L;propositionsDeLaMission;5242
A25CAPV49L;respectPrincipeSpecialite;9127
A25CAPV49L;respectPrincipeSpecialiteID;9047
A25CAPV49L;siEffectivitePrestationDifficile;9704
A25CAPV49L;siImpotsTaxesRetenuesDeduits;8034
A25CAPV49L;siObjetJustifiantOuvertureRegieRespecte;5495
A25CAPV49L;siPiecesJustificativesValides;9073
A25CAPV49L;soldeEnCaisse;7567
A25CAPV49L;soldeEnCaisseEnLettre;7533
A25CAPV49L;structure;6238
A25CAPV49L;userMAJ;7361
A25CAPV49L;volumeAnnuel;8849
A56ACIN02R;inAmplitude;9243
A56ACIN02R;inCode;9737
A56ACIN02R;inDateCible;9902
A56ACIN02R;inDateMaj;5459
A56ACIN02R;inDateRef;8529
A56ACIN02R;inDescriptionAnglais;9612
A56ACIN02R;inDescriptionFrancais;9124
A56ACIN02R;inLibelleAnglais;6678
A56ACIN02R;inLibelleAnglais2;7935
A56ACIN02R;inLibelleAnglais3;9237
A56ACIN02R;inLibelleAnglais4;7719
A56ACIN02R;inLibelleAnglais5;6169
A56ACIN02R;inLibelleFrancais;8342
A56ACIN02R;inLibelleFrancais2;8438
A56ACIN02R;inLibelleFrancais3;5101
A56ACIN02R;inLibelleFrancais4;6028
A56ACIN02R;inLibelleFrancais5;7777
A56ACIN02R;inNumOrdreInd;8264
A56ACIN02R;inPeriodicite;5363
A56ACIN02R;inResponsableStructure;5928
A56ACIN02R;inSensEvolution;7648
A56ACIN02R;inSeuil;8356
A56ACIN02R;inSiDeclencheur;9342
A56ACIN02R;inSiNouveau;9488
A56ACIN02R;inSourceDonnee;6360
A56ACIN02R;inSourceVerification;9382
A56ACIN02R;inUserMaj;9282
A56ACIN02R;inValeurCible;9473
A56ACIN02R;inValeurDeclencheur;8263
A56ACIN02R;inValeurRef;9885
A56ACIN02R;inVersion;7997
A56ACIN02R;obCode;6918
A56ACIN02R;trCodeTranche;9802
A56ACIN02R;umSymboleMesure;9590
A56ACIN02R;umSymbolePeriodicite;9877
A96GRUS98R;g14gdde21t;7826
A96GRUS98R;g27gdfi20n;7273
A96GRUS98R;g28grno21m;6084
A96GRUS98R;g39grac23f;9789
A96GRUS98R;g48gdma31j;5670
A96GRUS98R;g66guma47j;9621
A96GRUS98R;l60liid43d;7003
A96GRUS98R;u66utlo25n;9078
A97GEDO14E;d58daid15d;9739
A97GEDO14E;e34exmi65e;6186
A97GEDO14E;g15gdde01t;9010
A97GEDO14E;g20gdfi51n;7383
A97GEDO14E;g29grno58m;8404
A97GEDO14E;g43grac29f;9134
A97GEDO14E;g43guma77j;5037
A97GEDO14E;g60gdma56j;5263
A97GEDO14E;l39liid70d;5833
A97GEDO14E;n50nive22u;8242
A97GEDO14E;p56pdid88d;6876
B18BSEQ10N;AB1S;8748
B18BSEQ10N;ADP;5064
B18BSEQ10N;AUTRETRANSF;7843
B18BSEQ10N;BIPC2D;7403
B18BSEQ10N;BIPRIO;8880
B18BSEQ10N;BS;9689
B18BSEQ10N;CONTRIB;5113
B18BSEQ10N;dateMaj;5554
B18BSEQ10N;DetteExt;5578
B18BSEQ10N;DetteInt;9362
B18BSEQ10N;EET;7445
B18BSEQ10N;exMillesime;7792
B18BSEQ10N;FINEX;7631
B18BSEQ10N;id;7322
B18BSEQ10N;IntituleJourAn;5825
B18BSEQ10N;IntituleJourFr;8077
B18BSEQ10N;mDateJour;5083
B18BSEQ10N;NumSemaine;8943
B18BSEQ10N;Pension;8768
B18BSEQ10N;Sal;8436
B18BSEQ10N;Subvention;7740
B18BSEQ10N;TypeOperation;8859
B18BSEQ10N;UserMaj;7580
B23BAME18E;actif;8748
B23BAME18E;dateDebut;8027
B23BAME18E;dateFin;9581
B23BAME18E;dateMaj;7908
B23BAME18E;dure;9991
B23BAME18E;ID;8167
B23BAME18E;messages_env;6344
B23BAME18E;userMaj;7119
B92NAEC26E;a58arti05e;5769
B92NAEC26E;c43comp04e;5610
B92NAEC26E;dateDebut;9816
B92NAEC26E;dateFin;7493
B92NAEC26E;n11nlan06s;5573
B92NAEC26E;n23neco00e;9876
B92NAEC26E;n24neid09d;8006
B92NAEC26E;n31numa95j;6468
B92NAEC26E;n53nlfr84s;7168
B92NAEC26E;n61ndma97j;6423
B92NAEC26E;p55para10e;5091
B92NAEC26E;r16rubr57e;6916
B92NAEC26E;t38titr34e;6820
B92NAEC26E;version;8665
B92POCO76E;a65aaid02d;8451
B92POCO76E;d10ddid80d;7270
B92POCO76E;l37llei55d;7500
B92POCO76E;p18ppid49d;6075
B92POCO76E;p22plus00s;5801
B92POCO76E;p35pcex50n;7662
B92POCO76E;p35pdma55j;6339
B92POCO76E;p37puma15j;7137
B92POCO76E;p51plfr55r;6998
B92POCO76E;p54pcna29e;6357
B92POCO76E;pcAbreviation;9526
B92POCO76E;pcCode;9773
B92POCO76E;pcCodeTresor;7334
B92POCO76E;pcDateDebut;5107
B92POCO76E;pcDateFin;8669
B92POCO76E;pcLibelleFrSave;5635
B92POCO76E;pcPosteComptableId;5499
