procedureName;procedureSequence;abbreviation;correspondance
ps_Exec_CourrierTraiteStats;2602;ctst;xx_524_c26ctst02s
ps_Exec_CourrierUserPosteTraitement_D;2484;cupt;xx_524_c24cupt84d
ps_Exec_CourrierUserPosteTraitement_I;2463;cupt;xx_524_c24cupt63i
ps_Exec_CourrierUserPosteTraitement_U;2479;cupt;xx_524_c24cupt79u
ps_Exec_Couverture_Regroupement;3916;core;xx_524_c39core16t
ps_Exec_CPCompta;2319;cpco;xx_524_c23cpco19a
ps_Exec_CPComptaPC;1955;ccpc;xx_524_c19ccpc55c
ps_Exec_Create_Code;2342;crco;xx_524_c23crco42e
ps_Exec_Create_CodeLiquidation;3287;ccli;xx_524_c32ccli87n
ps_Exec_Create_Liste_LiquidationUserPrint;3578;cllu;xx_524_c35cllu78t
ps_Exec_CreateLiquidationUserPrint_I;2390;clup;xx_524_c23clup90i
ps_Exec_CreateListe_Liquidation;2801;clli;xx_524_c28clli01n
ps_Exec_Dac_Acteur_SL;2960;dasl;xx_524_d29dasl60l
ps_Exec_DAC_D;2615;dadd;xx_524_d26dadd15d
ps_Exec_Dac_Etat_Bordereau_Reception_Dossier_Report;2057;debr;xx_524_d20debr57t
ps_Exec_Dac_Etat_Bordereau_Transmission_Dossier_Report;1970;debt;xx_524_d19debt70t
ps_Exec_Dac_Etat_Rejet_Report;2584;derr;xx_524_d25derr84t
ps_Exec_Dac_Etat_Saisi_Sur_Periode_Report;3250;dess;xx_524_d32dess50t
ps_Exec_Dac_Etat_SaisiNonTransmis_Report;2792;desn;xx_524_d27desn92t
ps_Exec_DAC_I;1999;daid;xx_524_d19daid99i
ps_Exec_Dac_Mandat_Avance_Tresorerie_Report;2292;dmat;xx_524_d22dmat92t
ps_Exec_Dac_Mandat_Avance_Tresorerie_Report_Imprimer;2290;dmat;xx_524_d22dmat90r
ps_Exec_Dac_Marquage_OperationPaiement_Liste;3057;dmop;xx_524_d30dmop57e
ps_Exec_Dac_Marquage_OperationPayer;2041;dmop;xx_524_d20dmop41r
ps_Exec_Dac_OperationSaisie_NonTransmis_Liste;2150;dosn;xx_524_d21dosn50e
ps_Exec_Dac_PieceJointe_I;3563;dpji;xx_524_d35dpji63i
ps_Exec_Dac_PieceJointe_SL;2535;dpjs;xx_524_d25dpjs35l
ps_Exec_Dac_Reception_I;2102;drid;xx_524_d21drid02i
