tableName;columnName;columnSequence;abbreviation;correspondance
A25CAPV49L;caisseAvId;9321;caid;c93caid21d
A25CAPV49L;caisseAvProcesVerbalId;7440;capv;c74capv40d
A25CAPV49L;categorieRegie;8552;care;c85care52e
A25CAPV49L;categorieRegieID;9763;crid;c97crid63d
A25CAPV49L;chCode;7725;code;c77code25e
A25CAPV49L;commentaireControlePiecesJustificatives;6412;ccpj;c64ccpj12s
A25CAPV49L;commentaiRerespectPrincipeSpecialite;6334;crps;c63crps34e
A25CAPV49L;dateArreteCreation;7260;dacr;d72dacr60n
A25CAPV49L;dateCreation;6002;dacr;d60dacr02n
A25CAPV49L;dateCreationAnnee;5507;dcan;d55dcan07e
A25CAPV49L;dateCreationJour;5141;dcjo;d51dcjo41r
A25CAPV49L;dateCreationMois;7646;dcmo;d76dcmo46s
A25CAPV49L;dateDecisionCreation;5773;ddcr;d57ddcr73n
A25CAPV49L;dateMAJ;8851;dama;d88dama51j
A25CAPV49L;dateQuittanceReversementFondsEnCaisse;8655;dqrf;d86dqrf55e
A25CAPV49L;dateQuittanceReversementRecettes;8549;dqrr;d85dqrr49s
A25CAPV49L;dateQuittanceReversementSommesNonJustifiees;7587;dqrs;d75dqrs87s
A25CAPV49L;dateSignature;9166;dasi;d91dasi66e
A25CAPV49L;depenseEnCoursDeRemboursement;5698;decd;d56decd98t
A25CAPV49L;depenseEnCoursDeRemboursementEnLettre;9812;decd;d98decd12e
A25CAPV49L;depenseEnInstanceRegisseur;8943;deir;d89deir43r
A25CAPV49L;depenseEnInstanceRegisseurEnLettre;8911;deir;d89deir11e
A25CAPV49L;differenceSoldeEnEcriture;8735;dsee;d87dsee35e
A25CAPV49L;differenceSoldeEnEcritureEnLettre;7217;dsee;d72dsee17e
A25CAPV49L;encaisse;6381;enca;e63enca81e
A25CAPV49L;evaluationAppreciationsVerificateur;7085;eave;e70eave85r
A25CAPV49L;evaluationAvisDGB;9738;eadg;e97eadg38b
A25CAPV49L;evaluationDate;6423;evda;e64evda23e
A25CAPV49L;evaluationDecisionMinistre;6268;edmi;e62edmi68e
A25CAPV49L;evaluationPropositionsSDCF;6939;epsd;e69epsd39f
A25CAPV49L;exMillesime;7791;mill;e77mill91e
A25CAPV49L;gradeComptable;5019;grco;g50grco19e
A25CAPV49L;gradeOrdonnateur;6448;gror;g64gror48r
A25CAPV49L;gradeRegisseur;8211;grre;g82grre11r
A25CAPV49L;imputationTechnique;9105;imte;i91imte05e
