tableName;tableSequence;abbreviation;correspondance
tblPSFEChapitreMessagerie;4640;PCME;T46PCME40E
tblPSFEChapitreObjectif;1043;PCOB;T10PCOB43F
tblPSFECorbeille;5738;PSCO;T57PSCO38E
tblPSFECorbeilleAction;3147;PCAC;T31PCAC47N
tblPSFECorbeilleActionIndicateur;5985;PCAI;T59PCAI85R
tblPSFECorbeilleActionObjectif;4898;PCAO;T48PCAO98F
tblPSFECorbeilleActionResponsable;2657;PCAR;T26PCAR57E
tblPSFECorbeilleActivite;4750;PCAC;T47PCAC50E
tblPSFECorbeilleActiviteIndicateur;5815;PCAI;T58PCAI15R
tblPSFECorbeilleActiviteObjectif;1506;PCAO;T15PCAO06F
tblPSFECorbeilleActiviteResponsable;4337;PCAR;T43PCAR37E
tblPSFECorbeilleParagraphe;3556;PCPA;T35PCPA56E
tblPsfeCorbeilleParagrapheUnitePhysique;2631;PCPU;T26PCPU31E
tblPsfeCorbeilleParagrapheUnitePhysiqueTP;1400;PCPU;T14PCPU00P
tblPSFECorbeilleProgramme;1123;PCPR;T11PCPR23E
tblPSFECorbeilleProgrammeIndicateur;4898;PCPI;T48PCPI98R
tblPSFECorbeilleProgrammeObjectif;4665;PCPO;T46PCPO65F
tblPSFECorbeilleProgrammeOperateur;3677;PCPO;T36PCPO77R
tblPSFECorbeilleProgrammeResponsable;3477;PCPR;T34PCPR77E
tblPSFECorbeilleTache;4089;PCTA;T40PCTA89E
tblPSFECorbeilleTacheIndicateur;2097;PCTI;T20PCTI97R
tblPSFECorbeilleTacheObjectif;4914;PCTO;T49PCTO14F
tblPSFECorbeilleTacheResponsable;2254;PCTR;T22PCTR54E
tblPSFEFonctionAdministrative;5893;PFAD;T58PFAD93E
tblPSFEFonctionPrincipale;3274;PFPR;T32PFPR74E
tblPSFEFonctionPrincipaleIndicateur;1330;PFPI;T13PFPI30R
tblPSFEFonctionPrincipaleObjectif;4602;PFPO;T46PFPO02F
tblPSFEFonctionSecondaire;2314;PFSE;T23PFSE14E
tblPSFELoiFinances;3317;PLFI;T33PLFI17S
tblPSFEMinistre;2911;PSMI;T29PSMI11E
tblPSFEModeGestion;4513;PMGE;T45PMGE13N
tblPSFEOperateur;2631;PSOP;T26PSOP31R
tblPSFEParagraphe;1682;PSPA;T16PSPA82E
tblPSFEParagrapheEngagement;1261;PPEN;T12PPEN61T
tblPSFEParagrapheEngagementHistorique;1155;PPEH;T11PPEH55E
tblPSFEParagrapheProjet;3103;PPPR;T31PPPR03T
tblPSFEParagrapheUnitePhysique;2057;PPUP;T20PPUP57E
tblPSFEParagrapheUnitePhysiqueAgrega;2892;PPUP;T28PPUP92A
tblPSFEPosteDepense;3261;PPDE;T32PPDE61E
tblPSFEPPASection;1094;PSSE;T10PSSE94N
tblPSFEProgramme;5016;PSPR;T50PSPR16E
tblPSFEProgrammeCode;5280;PPCO;T52PPCO80E
tblPSFEProgrammeIndicateur;3140;PPIN;T31PPIN40R
tblPSFEProgrammeIndicateurDescription;1544;PPID;T15PPID44N
tblPSFEProgrammeObjectif;2748;PPOB;T27PPOB48F
tblPSFEProgrammeOperateur;4546;PPOP;T45PPOP46R
tblPSFEProgrammeResponsable;1038;PPRE;T10PPRE38E
tblPSFESecteur;2015;PSSE;T20PSSE15R
tblPSFESourceFinancement;1692;PSFI;T16PSFI92T
tblPSFESourceFinancementType;3888;PSFT;T38PSFT88E
tblPSFETache;4520;PSTA;T45PSTA20E
tblPSFETacheAgregaPara;1706;PTAP;T17PTAP06A
tblPSFETacheResponsable;5017;PTRE;T50PTRE17E
tblPSFETraceArticle;5569;PTAR;T55PTAR69E
tblPSFETraceParagraphe;4304;PTPA;T43PTPA04E
tblPSFEUniteMesure;4491;PUME;T44PUME91E
tblPSFEUnitePhysique;5966;PUPH;T59PUPH66E
tblPSFEUser;1761;PSUS;T17PSUS61R
tblPSFEUser15;5365;PU15;T53PU15655
tblPSFEUserBis;5259;PUBI;T52PUBI59S
tblPSFEUserChapitre;3960;PUCH;T39PUCH60E
tblPSFEUserGroupe;2260;PUGR;T22PUGR60E
tblPSFEUserGroupeBis;4172;PUGB;T41PUGB72S
tblPSFEUserProfil;1443;PUPR;T14PUPR43L
tblPSFEUserVersion;3329;PUVE;T33PUVE29N
tblRegion;1807;REGI;T18REGI07N
tblSecteur;5625;SECT;T56SECT25R
tblSecteurMinepat;2565;SEMI;T25SEMI65T
